Mixing ratio profile of C2H6
Latitude: 1 N
Longitude:  69 E
Observation date: January 2, 2012 (T80 flyby)
Solar longitude:  29.0
Local time: 01:23
Correlation length: 1 scale height
Latitude of the temperature profile used for the retrieval: 1 S
Reference: Vinatier et al. 2015, Icarus 250, 95-115
  
  alt(km)    P(mbar)     T(K)      q_C2H6       q_min        q_max
  528.85   9.9610e-04   163.93   3.7610e-05   3.1455e-05   4.3765e-05
  518.87   1.2050e-03   163.08   3.5320e-05   2.9685e-05   4.0955e-05
  508.99   1.4580e-03   162.77   3.2090e-05   2.7103e-05   3.7078e-05
  499.18   1.7650e-03   163.10   2.8580e-05   2.4250e-05   3.2910e-05
  489.38   2.1350e-03   164.11   2.5290e-05   2.1563e-05   2.9017e-05
  479.58   2.5840e-03   165.58   2.2590e-05   1.9373e-05   2.5807e-05
  469.74   3.1270e-03   167.28   2.0590e-05   1.7763e-05   2.3417e-05
  459.87   3.7830e-03   168.91   1.9250e-05   1.6717e-05   2.1783e-05
  449.99   4.5780e-03   170.08   1.8460e-05   1.6129e-05   2.0791e-05
  440.11   5.5390e-03   170.85   1.8090e-05   1.5897e-05   2.0283e-05
  430.26   6.7030e-03   171.15   1.8020e-05   1.5926e-05   2.0114e-05
  420.47   8.1100e-03   171.20   1.8150e-05   1.6140e-05   2.0160e-05
  410.74   9.8140e-03   171.28   1.8330e-05   1.6379e-05   2.0281e-05
  401.06   1.1870e-02   171.76   1.8420e-05   1.6545e-05   2.0295e-05
  391.39   1.4370e-02   172.69   1.8300e-05   1.6480e-05   2.0120e-05
  381.73   1.7390e-02   173.95   1.7920e-05   1.6199e-05   1.9641e-05
  372.07   2.1040e-02   175.16   1.7380e-05   1.5764e-05   1.8996e-05
  362.41   2.5460e-02   176.04   1.6870e-05   1.5327e-05   1.8413e-05
  352.79   3.0800e-02   176.13   1.6570e-05   1.5073e-05   1.8067e-05
  343.25   3.7270e-02   175.34   1.6590e-05   1.5067e-05   1.8113e-05
  333.84   4.5100e-02   173.56   1.6830e-05   1.5278e-05   1.8382e-05
  324.58   5.4570e-02   172.03   1.7050e-05   1.5495e-05   1.8605e-05
  315.43   6.6030e-02   171.31   1.6950e-05   1.5437e-05   1.8463e-05
  306.36   7.9900e-02   171.61   1.6380e-05   1.4951e-05   1.7809e-05
  297.30   9.6680e-02   172.93   1.5470e-05   1.4138e-05   1.6802e-05
  288.22   1.1700e-01   174.57   1.4510e-05   1.3268e-05   1.5752e-05
  279.12   1.4160e-01   176.03   1.3850e-05   1.2676e-05   1.5024e-05
  270.00   1.7130e-01   177.15   1.3660e-05   1.2508e-05   1.4812e-05
  260.91   2.0730e-01   177.76   1.3920e-05   1.2755e-05   1.5085e-05
  251.84   2.5080e-01   178.07   1.4450e-05   1.3250e-05   1.5650e-05
  242.82   3.0350e-01   178.31   1.4900e-05   1.3671e-05   1.6129e-05
  233.85   3.6720e-01   178.27   1.4990e-05   1.3759e-05   1.6221e-05
  224.94   4.4430e-01   178.54   1.4620e-05   1.3423e-05   1.5817e-05
  216.06   5.3760e-01   178.86   1.3940e-05   1.2801e-05   1.5079e-05
  207.25   6.5060e-01   178.29   1.3180e-05   1.2102e-05   1.4258e-05
  198.54   7.8720e-01   176.89   1.2540e-05   1.1508e-05   1.3572e-05
  189.98   9.5250e-01   174.56   1.2090e-05   1.1103e-05   1.3077e-05
  181.59   1.1530e+00   171.57   1.1770e-05   1.0815e-05   1.2725e-05
  173.42   1.3950e+00   167.89   1.1490e-05   1.0546e-05   1.2434e-05
  165.45   1.6880e+00   165.15   1.1160e-05   1.0223e-05   1.2097e-05
  157.66   2.0420e+00   161.93   1.0770e-05   9.8707e-06   1.1669e-05
  150.04   2.4710e+00   160.12   1.0380e-05   9.5367e-06   1.1223e-05
  144.23   2.8620e+00   159.43   1.0140e-05   9.3077e-06   1.0972e-05
